THR,Frames,FPR,TPR,TTD
1,369,0.015151515151515152,0.6963696369636964,347
2,368,0.0,0.6589403973509934,547
3,367,0.0,0.6411960132890365,747
4,366,0.0,0.63,947
5,365,0.0,0.6220735785953178,1147
6,364,0.0,0.6140939597315436,1346
7,363,0.0,0.6060606060606061,1546
8,362,0.0,0.597972972972973,1747
9,361,0.0,0.5898305084745763,1947
10,360,0.0,0.5816326530612245,2147
11,359,0.0,0.5733788395904437,2347
12,358,0.0,0.5616438356164384,2547
13,357,0.0,0.5498281786941581,2747
14,356,0.0,0.5379310344827586,2947
15,355,0.0,0.5259515570934256,3147
16,354,0.0,0.5138888888888888,3346
17,353,0.0,0.5017421602787456,3546
18,352,0.0,0.48951048951048953,3747
19,351,0.0,0.47719298245614034,3947
20,350,0.0,0.4647887323943662,4147
21,349,0.0,0.45229681978798586,4347
22,348,0.0,0.4397163120567376,4547
23,347,0.0,0.42704626334519574,4747
24,346,0.0,0.4142857142857143,4947
25,345,0.0,0.4014336917562724,5147
26,344,0.0,0.38848920863309355,5347
27,343,0.0,0.37545126353790614,5546
28,342,0.0,0.36231884057971014,5746
29,341,0.0,0.3490909090909091,5947
30,340,0.0,0.3357664233576642,6147
