Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.0,0.00625,0.06666666666666667,1.0
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.9936708860759493
4,0.0,0.0,0.0,0.9872611464968153
5,0.0,0.0,0.0,0.9807692307692307
6,0.0,0.0,0.0,0.9741935483870968
7,0.0,0.0,0.0,0.9675324675324676
8,0.0,0.0,0.0,0.9607843137254902
9,0.0,0.0,0.0,0.9539473684210527
10,0.0,0.0,0.0,0.9470198675496688
11,0.0,0.0,0.0,0.94
12,0.0,0.0,0.0,0.9328859060402684
13,0.0,0.0,0.0,0.9256756756756757
14,0.0,0.0,0.0,0.9183673469387755
15,0.0,0.0,0.0,0.910958904109589
16,0.0,0.0,0.0,0.903448275862069
17,0.0,0.0,0.0,0.8958333333333334
18,0.0,0.0,0.0,0.8881118881118881
19,0.0,0.0,0.0,0.8802816901408451
20,0.0,0.0,0.0,0.8723404255319149
21,0.0,0.0,0.0,0.8642857142857143
22,0.0,0.0,0.0,0.8561151079136691
23,0.0,0.0,0.0,0.8478260869565217
24,0.0,0.0,0.0,0.8394160583941606
25,0.0,0.0,0.0,0.8308823529411765
26,0.0,0.0,0.0,0.8222222222222222
27,0.0,0.0,0.0,0.8134328358208955
28,0.0,0.0,0.0,0.8045112781954887
29,0.0,0.0,0.0,0.7954545454545454
30,0.0,0.0,0.0,0.7862595419847328
