Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR),,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR),,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.078078078,0.152173913,0.018018018,0.027173913,,0.349462366,0,0.045698925,0,,0.100806452,0.486842105,0.040322581,0
2,0.03003003,0.114441417,0,0.016348774,,0.271505376,0,0.017473118,0,,0.036290323,0.466666667,0.004032258,0
3,0.009009009,0.098360656,0,0.013661202,,0.232526882,0,0.00672043,0,,0.016129032,0.445945946,0,0
4,0,0.087671233,0,0.010958904,,0.206989247,0,0.004032258,0,,0.004032258,0.424657534,0,0
5,0,0.07967033,0,0.005494505,,0.194892473,0,0.001344086,0,,0,0.402777778,0,0
6,0,0.071625344,0,0,,0.185483871,0,0,0,,0,0.38028169,0,0
7,0,0.063535912,0,0,,0.177419355,0,0,0,,0,0.357142857,0,0
8,0,0.055401662,0,0,,0.169354839,0,0,0,,0,0.333333333,0,0
9,0,0.047222222,0,0,,0.163978495,0,0,0,,0,0.308823529,0,0
10,0,0.04178273,0,0,,0.158602151,0,0,0,,0,0.28358209,0,0
11,0,0.039106145,0,0,,0.153225806,0,0,0,,0,0.257575758,0,0
12,0,0.036414566,0,0,,0.147849462,0,0,0,,0,0.230769231,0,0
13,0,0.033707865,0,0,,0.142473118,0,0,0,,0,0.203125,0,0
14,0,0.030985915,0,0,,0.137096774,0,0,0,,0,0.174603175,0,0
15,0,0.028248588,0,0,,0.13172043,0,0,0,,0,0.14516129,0,0
16,0,0.025495751,0,0,,0.126344086,0,0,0,,0,0.114754098,0,0
17,0,0.022727273,0,0,,0.122311828,0,0,0,,0,0.083333333,0,0
18,0,0.01994302,0,0,,0.11827957,0,0,0,,0,0.050847458,0,0
19,0,0.017142857,0,0,,0.114247312,0,0,0,,0,0.017241379,0,0
20,0,0.014326648,0,0,,0.110215054,0,0,0,,0,0,0,0
21,0,0.011494253,0,0,,0.106182796,0,0,0,,0,0,0,0
22,0,0.008645533,0,0,,0.103494624,0,0,0,,0,0,0,0
23,0,0.005780347,0,0,,0.100806452,0,0,0,,0,0,0,0
24,0,0.002898551,0,0,,0.09811828,0,0,0,,0,0,0,0
25,0,0,0,0,,0.095430108,0,0,0,,0,0,0,0
26,0,0,0,0,,0.092741935,0,0,0,,0,0,0,0
27,0,0,0,0,,0.090053763,0,0,0,,0,0,0,0
28,0,0,0,0,,0.087365591,0,0,0,,0,0,0,0
29,0,0,0,0,,0.086021505,0,0,0,,0,0,0,0
30,0,0,0,0,,0.084677419,0,0,0,,0,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,10cm,,,,,,50cm,,,,,100cm,
