Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.4380165289256198,0.0
2,0.3425414364640884,0.0
3,0.2659279778393352,0.0
4,0.20277777777777778,0.0
5,0.15877437325905291,0.0
6,0.11731843575418995,0.0
7,0.09523809523809523,0.0
8,0.08146067415730338,0.0
9,0.0676056338028169,0.0
10,0.05649717514124294,0.0
11,0.04815864022662889,0.0
12,0.03977272727272727,0.0
13,0.03418803418803419,0.0
14,0.02857142857142857,0.0
15,0.025787965616045846,0.0
16,0.022988505747126436,0.0
17,0.020172910662824207,0.0
18,0.017341040462427744,0.0
19,0.014492753623188406,0.0
20,0.011627906976744186,0.0
21,0.008746355685131196,0.0
22,0.005847953216374269,0.0
23,0.002932551319648094,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
